key,en,ar,az,bn,de,fr,id,it,ms,ru,tr,ur
dnt_jumaada_awal,جمادى الأولى,جمادى الأولى,جمادى الأولى,جمادى الأولى,جمادى الأولى,جمادى الأولى,جمادى الأولى,جمادى الأولى,جمادى الأولى,جمادى الأولى,جمادى الأولى,جمادى الأولى
dnt_jumaada_thani,جمادى الثاني,جمادى الثاني,جمادى الثاني,جمادى الثاني,جمادى الثاني,جمادى الثاني,جمادى الثاني,جمادى الثاني,جمادى الثاني,جمادى الثاني,جمادى الثاني,جمادى الثاني
dnt_muh,محرم,محرم,محرم,محرم,محرم,محرم,محرم,محرم,محرم,محرم,محرم,محرم
dnt_muha,محرم,محرم,محرم,محرم,محرم,محرم,محرم,محرم,محرم,محرم,محرم,محرم
dnt_muharram,محرم,محرم,محرم,محرم,محرم,محرم,محرم,محرم,محرم,محرم,محرم,محرم
dnt_rabia_awal,ربيع أول,ربيع أول,ربيع أول,ربيع أول,ربيع أول,ربيع أول,ربيع أول,ربيع أول,ربيع أول,ربيع أول,ربيع أول,ربيع أول
dnt_rabia_thani,ربيع ثاني,ربيع ثاني,ربيع ثاني,ربيع ثاني,ربيع ثاني,ربيع ثاني,ربيع ثاني,ربيع ثاني,ربيع ثاني,ربيع ثاني,ربيع ثاني,ربيع ثاني
dnt_raj,رجب,رجب,رجب,رجب,رجب,رجب,رجب,رجب,رجب,رجب,رجب,رجب
dnt_raja,رجب,رجب,رجب,رجب,رجب,رجب,رجب,رجب,رجب,رجب,رجب,رجب
dnt_rajab,رجب,رجب,رجب,رجب,رجب,رجب,رجب,رجب,رجب,رجب,رجب,رجب
dnt_ram,رمضان,رمضان,رمضان,رمضان,رمضان,رمضان,رمضان,رمضان,رمضان,رمضان,رمضان,رمضان
dnt_rama,رمضان,رمضان,رمضان,رمضان,رمضان,رمضان,رمضان,رمضان,رمضان,رمضان,رمضان,رمضان
dnt_ramadan,رمضان,رمضان,رمضان,رمضان,رمضان,رمضان,رمضان,رمضان,رمضان,رمضان,رمضان,رمضان
dnt_raw,ربيع1,ربيع1,ربيع1,ربيع1,ربيع1,ربيع1,ربيع1,ربيع1,ربيع1,ربيع1,ربيع1,ربيع1
dnt_rawa,ربيع أول,ربيع أول,ربيع أول,ربيع أول,ربيع أول,ربيع أول,ربيع أول,ربيع أول,ربيع أول,ربيع أول,ربيع أول,ربيع أول
dnt_rth,ربيع2,ربيع2,ربيع2,ربيع2,ربيع2,ربيع2,ربيع2,ربيع2,ربيع2,ربيع2,ربيع2,ربيع2
dnt_rtha,ربيع ثاني,ربيع ثاني,ربيع ثاني,ربيع ثاني,ربيع ثاني,ربيع ثاني,ربيع ثاني,ربيع ثاني,ربيع ثاني,ربيع ثاني,ربيع ثاني,ربيع ثاني
dnt_saf,صفر,صفر,صفر,صفر,صفر,صفر,صفر,صفر,صفر,صفر,صفر,صفر
dnt_safa,صفر,صفر,صفر,صفر,صفر,صفر,صفر,صفر,صفر,صفر,صفر,صفر
dnt_safar,صفر,صفر,صفر,صفر,صفر,صفر,صفر,صفر,صفر,صفر,صفر,صفر
dnt_sha,شعبان,شعبان,شعبان,شعبان,شعبان,شعبان,شعبان,شعبان,شعبان,شعبان,شعبان,شعبان
dnt_shab,شعبان,شعبان,شعبان,شعبان,شعبان,شعبان,شعبان,شعبان,شعبان,شعبان,شعبان,شعبان
dnt_shaban,شعبان,شعبان,شعبان,شعبان,شعبان,شعبان,شعبان,شعبان,شعبان,شعبان,شعبان,شعبان
dnt_shawwal,شوال,شوال,شوال,شوال,شوال,شوال,شوال,شوال,شوال,شوال,شوال,شوال
dnt_swl,شوال,شوال,شوال,شوال,شوال,شوال,شوال,شوال,شوال,شوال,شوال,شوال
do_not_disturb,Do Not Disturb,عدم الإزعاج,Narahat etməyin,ডু নট ডিস্টার্ব,Bitte nicht stören,Ne Pas Déranger,Jangan Ganggu,Non disturbare,Jangan Ganggu,Не беспокоить,Rahatsız etmeyin,ڈسٹرب نہ‌کریں
do_not_disturb_access,Do Not Disturb access,أذونات عدم الإزعاج,Narahat Etməyin girişi,ডু নট ডিস্টার্বের অনুমতি,Zugriff auf Bitte nicht stören,Accès mode Ne pas déranger,Akses Jangan Ganggu,Accesso Non disturbare,Akses Jangan Ganggu,Доступ к режиму Не беспокоить,Erişimi rahatsız etmeyin,ڈسٹرب نہ کریں رسائی
do_not_disturb_access_dialog_info,The app needs to read the Do Not Disturb status,يحتاج التطبيق إلى قراءة حالة 'عدم الإزعاج',Narahat Etməyin rejiminə keçmək giriş icazələri tələb edir,ডু নট ডিস্টার্ব স্ট্যাটাস পড়তে হবে,Die App muss den Bitte nicht stören-Status lesen,L'application doit lire le statut Ne pas déranger,Aplikasi perlu membaca status Jangan Ganggu,L'app deve leggere lo stato Non disturbare,Aplikasi perlu membaca status Jangan Ganggu,Приложению требуется доступ к режиму Не беспокоить,Uygulamanın Rahatsız Etmeyin durumunu okuması gerekiyor,ایپ کو ڈسٹرب نہ کریں اسٹیٹس کو پڑھنے کی ضرورت ہے
do_not_disturb_dialog_info,The device will change to Do not disturb mode {value} after the prayer time,سيقوم الجهاز بالتحويل إلى وضع عدم الإزعاج بعد {value} من وقت الأذان,Cihaz namaz vaxtından sonra {value} narahat etmir rejiminə keçəcək,ডিভাইসটি ডু নট ডিস্টার্ব মোডে বদলে যাবে {value} নামাযের সময় পরে,Das Gerät wechselt in den Bitte nicht stören-Modus {value} nach der Gebetszeit,L'appareil passera en mode Ne pas déranger {value} après l'heure de la prière,Perangkat akan aktifkan mode Jangan Ganggu {value} setelah waktu salat,Il dispositivo passerà alla modalità Non disturbare {value} dopo l'ora della preghiera,Peranti akan berubah ke mod Jangan ganggu {value} selepas waktu solat,Устройство переключится в режим Не беспокоить через {value} после наступления времени молитвы,"Cihaz, namaz vaktinden sonra {value} Rahatsız etmeyin moduna geçecek",نماز کے وقت کے بعد ڈیوائس ڈسٹرب نہ کریں موڈ {value} میں تبدیل ہو جائے گا
do_not_disturb_dialog_info_2,The device will change to Do not disturb mode {value} before the prayer time,سيقوم الجهاز بالتحويل إلى وضع عدم الإزعاج قبل {value} من وقت الأذان,Cihaz namaz vaxtından əvvəl {value} narahat etmir rejiminə keçəcək,ডিভাইসটি ডু নট ডিস্টার্ব মোডে বদলে যাবে {value} নামাযের সময় আগে,Das Gerät wechselt in den Bitte nicht stören-Modus {value} vor der Gebetszeit,L'appareil passera en mode Ne pas déranger {value} avant l'heure de la prière,Perangkat akan aktifkan mode Jangan Ganggu {value} sebelum waktu salat,Il dispositivo passerà alla modalità Non disturbare {value} prima dell'ora della preghiera,Peranti akan berubah ke mod Jangan ganggu {value} sebelum waktu solat,Устройство переключится в режим Не беспокоить за {value} до наступления времени молитвы,"Cihaz, namaz vaktinden önce {value} Rahatsız etmeyin moduna geçecek",نماز کے وقت سے قبل ڈیوائس ڈسٹرب نہ کریں موڈ {value} میں تبدیل ہو جائے گی
do_not_disturb_dialog_info_3,The device will change to Do not disturb mode at start of prayer time,سيقوم الجهاز بالتحويل إلى وضع عدم الإزعاج في وقت الأذان,Cihaz namaz vaxtının əvvəlində Narahat Etməyin rejiminə keçəcəkdir,ডিভাইসটি ডু নট ডিস্টার্ব মোডে বদলে যাবে নামায শুরুর সময়ে,Das Gerät wechselt in den Bitte nicht stören-Modus zu Beginn der Gebetszeit,L'appareil passera en mode Ne pas déranger au début de l'heure de la prière,Perangkat akan aktifkan mode Jangan Ganggu ketika waktu salat,Il dispositivo passerà alla modalità Non disturbare all'inizio dell'orario di preghiera,Peranti akan berubah ke mod Jangan ganggu ketika mula waktu solat,Устройство переключится в режим Не беспокоить в момент наступления времени молитвы,Namaz vakti başladığında cihaz Rahatsız Etmeyin moduna geçecektir,نماز کے وقت شروع ہونے پر ڈیوائس ڈسٹرب نہ موڈ میں بدل جائے گا
do_not_disturb_duration,Do Not Disturb duration,المدة الزمنية لوضع عدم الإزعاج,Narahat Etməyin: müddəti,ডু নট ডিস্টার্বের সময়কাল,Bitte nicht stören Dauer,Durée du mode Ne pas déranger,Durasi Jangan Ganggu,Durata Non disturbare,Tempoh Jangan Ganggu,Продолжительность режима Не беспокоить,Rahatsız etmeyin süresi,ڈسٹرب نہ کریں کی مدت
do_not_disturb_duration_dialog,The device will be in Do Not Disturb mode for {value},سيقوم الجهاز بالتحويل إلى وضع عدم الإزعاج لمدة {value},Cihaz {value} üçün Narahat Etməyin rejimində olacaq,ডিভাইসটি {value} সময়ের জন্য ডু নট ডিস্টার্ব মোডে বদলে যাবে,Das Gerät wechselt in den Bitte nicht stören-Modus für {value},L'appareil sera en mode Ne pas déranger pour {value},Perangkat akan berada pada mode Jangan Ganggu selama {value},Il dispositivo sarà in modalità Non disturbare per {value},Peranti akan berada dalam mod Jangan Ganggu selama {value},Устройство будет находиться в режиме Не беспокоить в течение {value},"Cihaz, {value} için Rahatsız Etmeyin modunda olacak",نماز کے وقت سے پہلے موبائل {value} کے لیے سائلنٹ موڈ میں بدل جائے گا
done,Done,تم,Bitdi,সম্পন্ন,Fertig,Effectué,Selesai,Fatto,Selesai,Готово,Bitti,ہوگیا
dont_have_widgets,"To add a widget, press and hold the wallpaper on your home screen, then tap Widgets and find Prayer Times.",لإضافة ويدجت ، اضغط مع الاستمرار على خلفية الشاشة على شاشتك الرئيسية ، ثم انقر فوق الأدوات وابحث عن أوقات الصلاة.,"Bir vidcet əlavə etmək üçün ana ekranda divar kağızı basıb saxlayın, sonra Vidcetlərə vurun və Namaz Vaxtlarını tapın.","একটি উইগেট যুক্ত করতে, আপনার হোম স্ক্রিনে ওয়ালপেপার টিপুন এবং ধরে রাখুন, তারপরে উইগেটগুলি আলতো চাপুন এবং নামাযের সময় সন্ধান করুন।.","Um ein Widget hinzuzufügen, halten Sie den Bildschirmhintergrund auf dem Startbildschirm gedrückt, tippen Sie dann auf Widgets und suchen Sie nach Gebetszeiten.","Pour ajouter un widget, appuyez et maintenez l'arrière plan sur votre écran d'accueil, puis appuyez sur Widgets et sélectionnez Temps de prière.","Untuk menambahkan widget, ketuk dan tahan pada wallpaper di halaman utama, kemudian ketuk Widget dan temukan Prayer Times.","Per aggiungere un widget, tieni premuto lo sfondo sulla schermata principale, quindi clicca il Widget e trova l'orario delle preghiere.","Untuk tambah widget, tekan dan tahan kertas dinding di skrin utama Anda, kemudian ketuk Widgets dan cari Prayer Times.","Чтобы добавить виджет, нажмите и удерживайте обои на главном экране, затем нажмите Виджеты и найдите Время Молитвы.","Bir widget eklemek için, ana ekranınızdaki duvar kağıdına basın ve basılı tutun, ardından Widget'lar'a dokunun ve Namaz Vakitleri'ni bulun.",وِجیٹ شامل کرنے کے لیے، اپنی ہوم اسکرین پر وال پیپرکو ٹچ کرکے رکھیں، پھر وجیٹس کو ٹچ کریں اور اوقاتِ نماز تلاش کریں۔
download,Download,تحميل,Yükləyin,ডাউনলোড করুন,Herunterladen,Télécharger,Unduh,Scarica,Muat turun,Загрузить,İndir,ڈاؤنلوڈ
download_adhan_dialog,Download {value},تحميل {value},{value} yükləndi,{value} ডাউনলোড করুন,{value} Herunterladen,Télécharger {value},Unduh {value},Scarica {value},Muat turun {value},Загрузка {value},İndiriliyor {value},ڈاؤنلوڈ {value}
download_completed,{value} of {value2} download successful,{value} من {value2} تم تحميله,{value2}-dən {value} yüklənmə müvəffəq oldu,{value} এর {value2} ডাউনলোড সফল,{value} von {value2} Download erfolgreich,{value} de {value2} de téléchargement avec succès,{value} dari {value2} unduh berhasil,{value} di {value2} scaricato positivamente,{value} daripada {value2} muat turun telah berjaya,{value} из {value2} загружено,{value} / {value2} indirme başarılı,ڈاؤنلوڈ {value2} میں سے {value} مکمل
downloading_file,Downloading file…,جارٍ تحميل الملف…,Fayl yüklənir…,ফাইল ডাউনলোড হচ্ছে…,Datei herunterladen…,Téléchargement du fichier en cours…,Mengunduh berkas…,Scaricando file…,Muat turun fail…,Загрузка файла…,Dosya indiriliyor…,فائل ڈاؤنلوڈ ہورہی ہے…
downloading_font,Downloading font…,جارٍ تحميل الخط…,Şrift yüklənir…,ফন্ট ডাউনলোড হচ্ছে…,Schriftart herunterladen…,Téléchargement de la police en cours…,Mengunduh fon…,Scaricando caratteri…,Muat turun fon…,Загрузка шрифта…,Yazı tipi indiriliyor…,فونٹ ڈاونلوڈ ہورہا ہے…
dqi,DQi,ذقا,Z.Qə'd,কয়,DQa,DQi,Zkd,DQi,Zkd,ЗКд,Zlk,ذ۔قعد
dqid,Dhul-Qi'dah,ذو القعدة,Zül Qə'də,জিলক্বদ,Dhū l-Qa'da,Dhoul-Qi'dah,Zulkaidah,Dhul-Qi'dah,Zulkaedah,Зуль-Када,Zilkade,ذی القعدہ
duha,Duha,الضحى,Duha,দুহা,Duha,Douha,Duha,Duha,Duha,Духа,Kuşluk,اشراق
duha_after_summary_hours_minutes,{value} after Shuruq,{value} بعد الشروق,Gün doğuşundan sonra {value},{value} পরে সূর্যদয়,{value} nach Sonnenaufgang,{value} après Shourouq,{value} setelah Terbit,{value} dopo il Alba,{value} selepas Syuruk,{value} после Восхода,Gün doğumundan {value} sonra,طلوع کے بعد {value}
duha_before_summary_hours_minutes,{value} before Dhuhr,{value} قبل الظهر,Zöhrdən əvvəl {value},{value} দুহা'র আগে,{value} vor Zuhr,{value} avant Dohr,{value} sebelum Zuhur,{value} prima del Duhr,{value} sebelum Zohor,{value} до Зухр,Öğleden {value} önce,ظہر سے پہلے {value}
duhr,Dhuhr,الظهر,Zöhr,যোহর,Zuhr,Dohr,Zuhur,Duhr,Zohor,Зухр,Öğlen,ظہر
duration_info,Duration {value} second(s),المدة الزمنية {value} ثانية/ثوانٍ,Müddət {value} saniyə(lər),সময়কাল {value} সেকেন্ড(স),Dauer {value} Sekunde(n),Durée {value} seconde(s),Durasi {value} detik,Durata {value} secondo(i),Durasi {value} saat,Длительность {value} сек.,Süre {value} saniye,مدت {value} سیکنڈ
duration_info_n,Duration {value} minutes(s) {value2} second(s),المدة الزمنية {value} دقيقة/دقائق {value2} ثانية/ثوانٍ,Müddəti {value} dəqiqə(lər) {value2} saniyə(lər),সময়কাল {value} মিনিট(স) {value2} সেকেন্ড(স),Dauer {value} Minute(n) {value2} Sekunde(n),Durée {value} minute(s) {value2} seconde(s),Durasi {value} menit {value2} detik,Durata {value} minuto(i) {value2} secondo(i),Durasi {value} minit {value2} saat,Длительность {value} мин. {value2} сек.,Süre {value} dakika {value2} saniye,مدت {value} منٹ و {value2} سیکنڈ
dynamic_colors,Dynamic colors,الألوان تفاعلية,Dinamik rənglər,Dynamic colors,Dynamische Farben,Couleurs dynamiques,Warna dinamis,Colori dinamici,Warna dinamik,Динамические цвета,Dinamik renkler,ڈائنامک رنک
dynamic_colors_theme_sum,Pulls colors from system theme,سحب الألوان من نمط النظام,Sistem mövzusundan rənglər çəkir,Pulls colors from system theme,Übernimmt die Farben aus dem System-Theme,Utilise les couleurs du thème du système,Ambil warna dari tema sistem,Prendi i colori dal tema del sistema,Menarik warna daripada tema sistem,Извлечение цвета из системной темы,Renkleri sistem temasından alır,آپ کےسسٹم کے رنگ استعمال کرتا ہے
dynamic_timetable,Dynamic timetable,جدول زمني متغيّر,Dynamic timetable,পরিবর্তনশীল সময়সূচি,Dynamischer Zeitplan,Tableau d'horaire dynamique,Jadwal dinamis,Orario dinamico,Jadual dinamik,Динамическое расписание,Dinamik zaman dilimi,متحرک ٹائم ٹیبل
dynamic_timetable_summary,Calculate prayer times for any location,حساب أوقات الصلاة في أي مكان,Calculate prayer times for any location,যেকোন স্হানের নামাজের সময় হিসেব করুন,Berechnung der Gebetszeiten für jeden Standort,Calculer les heures de prière pour n'importe quel lieu,Hitung waktu salat untuk lokasi mana pun,Calcola i tempi di preghiera per qualsiasi luogo,Hitung waktu solat untuk mana-mana lokasi,Рассчитайте время молитвы для любого местоположения,Herhangi bir konum için namaz vakitlerini hesaplayın,کسی بھی جگہ کے لیے نماز کے اوقات کا حساب لگائیں
dzulhijjah_fasting,Dzulhijjah Fasting,صيام ذو الحجة,Zilhiccə Orucu,জুলহাজএর রোজা,Dhū l-Hiddscha-Fasten,Jeûne de Dhou Al-Hijjah,Puasa Zulhijah,Digiuno di Zulhijjah,Puasa Zulhijjah,Пост в Зуль-Хиджа,Zilhicce Orucu,ذی‌الحجہ کا روزہ
early_months_of_qomariyah,Early months of qomariyah,الأشهر الأولى من القمرية,İlk aylar qəməriyyə,কামারিয়াহ এর আসন্ন মাস,Die ersten Monate von Qamarīya,Premiers mois de Qamariyah,Awal bulan kamariah,Primi mesi di qamariyah,Awal bulan qomariyah,Первые месяцы Qomariyah,Kameri ilk aylar,ابتدائی قمری مہینے
eastern_arabic,Eastern Arabic,العربية الشرقية,Şərqi Ərəbcə,Eastern Arabic,Ostarabisch,Arabe oriental,Arab Timur,Arabo Orientale,Arab Timur,Восточные арабские,Doğu Arapçası,مشرقی عربی
edit,Edit,تعديل,Redaktə edin,সম্পাদনা করুন,Bearbeiten,Éditer,Sunting,Modifica,Edit,Редактировать,Düzenle,ترمیم
edit_location,Edit Location,تعديل الموقع,Məkanı redaktə edin,অবস্থান সম্পাদনা করুন,Standort bearbeiten,Modifier le lieu,Ubah Lokasi,Modifica posizione,Edit Lokasi,Изменить Местоположение,Konumu düzenle,مقام میں ترمیم کریں
eight_day,8th day,اليوم الثامن,8-ci gün,৮ম দিন,8. Tag,8ème jour,Hari ke-8,Ottavo giorno,Hari kelapan,8-й день,Sekizinci gün,آٹھواں دن
elapsed_time,Elapsed time,Elapsed time,Elapsed time,Elapsed time,Elapsed time,Elapsed time,Waktu berlalu,Elapsed time,Elapsed time,Elapsed time,Elapsed time,Elapsed time
elevation,Elevation,الارتفاع,Yüksəklik,উচ্চতা,Elevation,Élevation,Ketinggian,Elevazione,Ketinggian,Высота,Yükseklik,بلندی
elevation_m,Elevation (Meters),الارتفاع (بالأمتار),Yüksəklik (Metr),উচ্চতা (মিটার),Elevation (Meter),Élevation (mètres),Ketinggian (Meter),Elevazione (Metri),Ketinggian (Meter),Высота (метры),Yükseklik (Metre),سطح سمندر سے بلندی
elevation_method_adjustment,Method adjustments (Default),التعديلات الافتراضية,Metod düzəlişləri (Varsayılan),পদ্ধতি সমন্বয় (ডিফল্ট),Methodenanpassungen (Standard),Ajustements de méthode (par défaut),Penyesuaian berdasar metode (Standar),Aggiustamenti metodo (impostazione predefinita),Pelarasan Kaedah (Lalai),Настройка метода (по умолчанию),Yöntem ayarlamaları (Varsayılan),طریقہ ایڈجسٹمنٹ (پہلے سے طےشدہ)
elevation_sum,{value} Meter(s),{value} متر/أمتار,{value} Metr(lər),{value} মিটার(স),{value} Meter,{value} Mètre(s),{value} Meter,{value} Metro(i),{value} Meter,{value} метр.,{value} Metre,{value} میٹرز
em_dash,—,—,—,—,—,—,—,—,—,—,—,—
email_title,Prayer Times mail,Prayer Times mail,Prayer Times mail,Prayer Times mail,Prayer Times mail,Prayer Times mail,Prayer Times mail,Prayer Times mail,Prayer Times mail,Prayer Times mail,Prayer Times mail,Prayer Times mail
en_dash,–,–,–,–,–,–,–,–,–,–,–,–
enable,Enable,تفعيل,Enable,চালু করা,Einschalten,Activer,Hidupkan,Abilita,Dayakan,Включено,Etkinleştir,فعال کریں
enable_location_service,Please enable location service,يرجى تفعيل خدمة الموقع,Zəhmət olmasa məkan xidmətini aktiv edin,দয়া করে অবস্থান পরিষেবা চালু করুন,Bitte aktivieren Sie den Dienst zur Standortidentifikation,Veuillez activer le service de localisation,Mohon aktifkan servis lokasi,"Per favore, attiva la localizzazione",Sila dayakan perkhidmatan lokasi,Включите службу определения местоположения,Lütfen konum hizmetini etkinleştirin,مقام/لوکیشن سروِس شروع کریں
enable_notifications,Enable notifications,تفعيل الإشعارات,Bildirişləri aktiv edin,নোটিফিকেশন চালু করুন,Benachrichtigungen einschalten,Activer les notifications,Aktifkan notifikasi,Abilita notifiche,Dayakan notifikasi,Включить уведомления,Bildirimlere izin ver,اطلاعات فعال کریں
error_a11y_label,Error: invalid,Error: invalid,Error: invalid,Error: invalid,Error: invalid,Error: invalid,Error: invalid,Error: invalid,Error: invalid,Error: invalid,Error: invalid,Error: invalid
error_code_value,Error code : {value},رمز الخطأ: {value},Xəta kodu : {value},ইরোর কোডঃ {value},Fehlercode: {value},Code d'erreur: {value},Kode eror : {value},Codice errore: {value},Kod ralat : {value},Код ошибки : {value},Hata kodu : {value},ایررکوڈ: {value}
error_icon_content_description,Error,خطأ,Xəta,সমস্যা,Fehler,Erreur,Error,Errore,Ralat,Ошибка,Hata,خرابی
error_on_line,Error on row {value},خطأ في الصف {value},Error on row {value},{value} নম্বর সারিতে ভুল হয়েছে,Fehler in Zeile {value},Erreur à la ligne {value},Kesalahan pada baris {value},Errore nella riga {value},Ralat di baris {value},Ошибка в строке {value},Satırda hata {value},لائن نمبر {value} پر غلطی
event_name_day_ordered,{value} ({value2}),{value} ({value2}),{value} ({value2}),{value} ({value2}),{value} ({value2}),{value} ({value2}),{value} ({value2}),{value} ({value2}),{value} ({value2}),{value} ({value2}),{value} ({value2}),{value} ({value2})
event_notifications_info,Note: The dates are based on Umm Al-Qura Calendar not the actual dates by observed,ملحوظة: التواريخ مبنية على تقويم أم القرى وليس التواريخ الفعلية,Qeyd: Tarixlər Ummül-Qura Təqviminə əsasən müşahidə edilən həqiqi tarixlərə deyil,নোটঃ তারিখগুলো উম আল-কোরা ক্যালেন্ডারের বাস্তবিক তারিখের সাথে নাও মিলতে পারে,"Hinweis: Die Daten basieren auf dem Umm-al-Qura-Kalender und nicht auf den tatsächlichen Daten, die berücksichtigt werden",Note: Les dates sont basées sur le calendrier d'Umm Al-Qura et non sur les dates réelles observées,Catatan: Tanggal ini didasarkan pada Kalender Ummul Qura bukan tanggal sebenarnya berdasarkan pengamatan,Nota: le date si basano sul calendario Umm Al-Qura e non sulle date effettive osservate,"Nota: Tarikh ini berdasarkan Kalendar Umm Al-Qura, bukan tarikh sebenar dari pemerhatian","Примечание: даты указаны в соответствии с календарем Умм аль-Кура и не являются фактическими датами, основанными на наблюдениях","Not: Tarihler Umm Al-Qura Takvimine göre verilmiştir, gözlemlenen gerçek tarihler değil",نوٹ: تاریخیں امّ القریٰ کیلنڈر پر مبنی ہیں نہ کہ اصل تاریخوں پر
events,Events,الأحداث,Tədbirlər,ঘটনাবলী,Ereignisse,Événements,Acara,Eventi,Acara,События,Hadiseler,مواقع
every_day,Every day,يوميًا,Hər gün,প্রত্যেকদিন,Täglich,Tous les jours,Setiap hari,Tutti i giorni,Setiap hari,Каждый день,Her gün,روزانہ
every_x_days,Repeat every x days,التكرار كل س يوم,Repeat every x days,Repeat every x days,Alle x Tage wiederholen,Répéter tous les x jours,Ulangi setiap x hari,Ripeti ogni x giorni,Ulangi setiap x hari,Повтор каждые х дн.,Her x gün tekrarla,ہر x دن دہرائیں
exit,Exit,خروج,Çıx,বেরিয়ে আসুন,Beenden,Quitter,Keluar,Esci,Keluar,Выход,Çıkış,بند کریں
exit_app_message,Are you sure you want to exit?,هل أنت متأكد من أنك تريد الخروج؟,Çıxmaq istədiyinizə əminsinizmi?,আপনি কি বাহির হতে ইচ্ছুক?,"Sind Sie sicher, dass Sie beenden möchten?",Êtes-vous sûr de vouloir quitter?,Apakah Anda yakin keluar aplikasi?,Sei sicuro che vuoi esci?,Adakah anda pasti mahu keluar?,"Вы уверены, что хотите выйти?",Çıkmak istediğinizden emin misiniz?,کیا آپ یقیناً باہر نکلنا چاہتے ہیں؟
expand_button_title,Advanced,إعدادات متقدمة,Əlavə,উন্নত,Erweitert,Paramètres avancés,Lanjutan,Avanzate,Terperinci,Дополнительно,Gelişmiş,جدید ترین
external_audio_info_message,Swipe right to rename and swipe left to delete the file. Please do not delete the file while it is being used,اسحب لليمين لإعادة التسمية واسحب لليسار لحذف الملف. يرجى عدم حذف الملف أثناء استخدامه,Yenidən adlandırmaq üçün sağa çəkin və faylı silmək üçün sola çəkin. Xahiş edirəm faylı istifadə zamanı silməyin,নাম মুছে ফেলার জন্য ডানদিকে সোয়াইপ করুন এবং ফাইলটি মুছতে বাম দিকে সোয়াইপ করুন। দয়া করে ফাইলটি ব্যবহার করার সময় মুছবেন না,"Wischen Sie nach rechts, um die Datei umzubenennen, und wischen Sie nach links, um sie zu löschen. Bitte löschen Sie die Datei nicht, während sie verwendet wird",Faites glisser vers la droite pour renommer le fichier et vers la gauche pour le supprimer. Veuillez ne pas effacer le fichier pendant qu'il est utilisé,Geser ke kanan untuk mengubah nama dan geser ke kiri untuk menghapus file. Harap untuk tidak menghapus file tersebut ketika sedang digunakan.,"Scorri a destra per rinominare e a sinistra per eliminare il file. Per favore, non cancellare il file mentre è in uso",Leret ke kanan untuk penamaan semula dan leret ke kiri untuk memadam fail. Sila jangan padamkan fail semasa ianya sedang digunakan,"Проведите пальцем вправо, чтобы переименовать файл, и влево, чтобы удалить его. Не удаляйте файл во время его использования","Dosyayı yeniden adlandırmak için sağa, silmek için sola kaydırın. Lütfen kullanım sırasında dosyayı silmeyin",نام تبدیل کرنے کے لیے دائیں سوائپ کریں اور فائل کو حذف کرنے کے لیے بائیں طرف سوائپ کریں۔ براہ کرم فائل کے استعمال کے دوران اسے حذف نہ کریں
failed,Failed,فشل,Uğursuz oldu,ব্যর্থ হয়েছে,Fehlgeschlagen,Échoué,Gagal,Fallito,Gagal,Неудачно,Başarısız,ناکام
failed_add_year,Failed to add {value},فشل في إضافة {value},Failed to add {value},{value} যোগ করতে ব্যর্থ হয়েছে,{value} konnte nicht hinzugefügt werden,Échec de l'ajout {value},Gagal menambahkan {value},È fallita l aggiunta di {value},Gagal menambah {value},Не удалось добавить {value},{value} eklenemedi,{value} شامل کرنے میں ناکام
failed_delete_audio,Failed to delete file,فشل حذف الملف,Fayl silinmədi,ফাইলটি মুছতে ব্যার্থ,Löschung fehlgeschlagen,Impossible de supprimer le fichier,Gagal hapus file,Impossibile eliminare il file,Gagal memadamkan fail,Не получилось удалить файл,Dosya silinemedi,فائل حذف ہونے میں ناکام
failed_downloading_font,Request font failed,فشل طلب الخط,İstək şrifti alınmadı,অনুরোধ ফন্ট ব্যর্থ হয়েছে,Schriftart anfordern fehlgeschlagen,Échec requête de police,Gagal meminta fon,Richiesta caratteri fallito,Permintaan untuk fon gagal,Запрос шрифта не удался,Yazı tipi isteği başarısız oldu,فونٹ کی درخواست ناکام ہوگئی
failed_get_location_name,Failed to get location name,فشل الحصول على اسم الموقع,Məkanın adı tapılmadı,Failed get location name,Name des Standorts konnte nicht ermittelt werden,Échec de l'obtention du nom du lieu,Gagal mendapatkan nama lokasi,Errore nel determinare il nome della posizione,Gagal mendapatkan nama lokasi,Не удалось определить название местоположения,Konum adı alınamadı,مقام کا نام جاننے میں ناکام
failed_get_time_zone,Failed to get time zone,فشل الحصول على المنطقة الزمنية,Saat qurşağı səhvdir,সময় অঞ্চল পেতে ব্যর্থ,Zeitzone konnte nicht ermittelt werden,Échec obtention du fuseau horaire,Gagal mendapatkan zona waktu,Errore nel determinare il fuso orario,Gagal mendapatkan zon waktu,Не удалось определить часовой пояс,Saat dilimi alınamadı,وقت کا زون جاننے میں ناکام
failed_rename_file,Failed to rename file,فشل في إعادة تسمية الملف,Faylın adı dəyişdirilə bilmədi,ফাইলটির নাম পরিবর্তন করতে ব্যর্থ,Umbenennung fehlgeschlagen,Impossible de renommer le fichier,Gagal ubah nama,Rinomina file fallito,Gagal untuk penamaan semula fail,Не удалось переименовать файл,Dosya adı değiştirilemedi,نام تبدیل کرنے میں ناکام
fajr,Fajr,الفجر,Fəcr,ফজর,Fadschr,Fajr,Subuh,Fajr,Subuh,Фаджр,Sabah,فجر
